title,description,level,goal,equipment,program_length,time_per_workout,week,day,number_of_exercises,exercise_name,sets,reps,intensity,created,last_edit
Optimized PHUL (Power Hypertrophy Upper Lower),"The goal of these revisions is to make the PHUL program more beginner-friendly by slightly altering exercise selection and rearranging the lower body days to better support recovery and sustainability. With proper attention to diet and recovery, athletes of all levels should see noticeable gains in strength and hypertrophy.

Deadlifts moved to the Lower Hypertrophy Day to optimize recovery.

Exercise order has been adjusted to accommodate this change, and calf volume has been slightly reduced.

Front squats have been replaced with Hack Squats for a better quad stimulus with less overall fatigue and a more manageable movement pattern.

Ab work has been added to each lower body day, which is optional but recommended for balanced core development.

For progression, aim to add either weight or reps each week. A simple method: once you hit the upper end of the rep range for a given exercise in all sets, increase the weight the next session. For Squat and Deadlift, add 10 lbs each time until you plateau, then reduce to 5 lbs increments. For Bench Press and OHP, aim to add 5 lbs each session. For accessory lifts, increase in the smallest possible increment.","['Advanced', 'Intermediate']","['Powerlifting', 'Powerbuilding']",Full Gym,12.0,90.0,1.0,1.0,7.0,Bench Press (Barbell),3.0,8.0,9.0,2024-11-18 11:11:00,2025-06-29 06:04:00
Optimized PHUL (Power Hypertrophy Upper Lower),"The goal of these revisions is to make the PHUL program more beginner-friendly by slightly altering exercise selection and rearranging the lower body days to better support recovery and sustainability. With proper attention to diet and recovery, athletes of all levels should see noticeable gains in strength and hypertrophy.

Deadlifts moved to the Lower Hypertrophy Day to optimize recovery.

Exercise order has been adjusted to accommodate this change, and calf volume has been slightly reduced.

Front squats have been replaced with Hack Squats for a better quad stimulus with less overall fatigue and a more manageable movement pattern.

Ab work has been added to each lower body day, which is optional but recommended for balanced core development.

For progression, aim to add either weight or reps each week. A simple method: once you hit the upper end of the rep range for a given exercise in all sets, increase the weight the next session. For Squat and Deadlift, add 10 lbs each time until you plateau, then reduce to 5 lbs increments. For Bench Press and OHP, aim to add 5 lbs each session. For accessory lifts, increase in the smallest possible increment.","['Advanced', 'Intermediate']","['Powerlifting', 'Powerbuilding']",Full Gym,12.0,90.0,1.0,1.0,7.0,Incline Chest Press (Machine),3.0,5.0,8.0,2024-11-18 11:11:00,2025-06-29 06:04:00
Optimized PHUL (Power Hypertrophy Upper Lower),"The goal of these revisions is to make the PHUL program more beginner-friendly by slightly altering exercise selection and rearranging the lower body days to better support recovery and sustainability. With proper attention to diet and recovery, athletes of all levels should see noticeable gains in strength and hypertrophy.

Deadlifts moved to the Lower Hypertrophy Day to optimize recovery.

Exercise order has been adjusted to accommodate this change, and calf volume has been slightly reduced.

Front squats have been replaced with Hack Squats for a better quad stimulus with less overall fatigue and a more manageable movement pattern.

Ab work has been added to each lower body day, which is optional but recommended for balanced core development.

For progression, aim to add either weight or reps each week. A simple method: once you hit the upper end of the rep range for a given exercise in all sets, increase the weight the next session. For Squat and Deadlift, add 10 lbs each time until you plateau, then reduce to 5 lbs increments. For Bench Press and OHP, aim to add 5 lbs each session. For accessory lifts, increase in the smallest possible increment.","['Advanced', 'Intermediate']","['Powerlifting', 'Powerbuilding']",Full Gym,12.0,90.0,1.0,1.0,7.0,Bent Over Row (Barbell),3.0,8.0,8.0,2024-11-18 11:11:00,2025-06-29 06:04:00
Optimized PHUL (Power Hypertrophy Upper Lower),"The goal of these revisions is to make the PHUL program more beginner-friendly by slightly altering exercise selection and rearranging the lower body days to better support recovery and sustainability. With proper attention to diet and recovery, athletes of all levels should see noticeable gains in strength and hypertrophy.

Deadlifts moved to the Lower Hypertrophy Day to optimize recovery.

Exercise order has been adjusted to accommodate this change, and calf volume has been slightly reduced.

Front squats have been replaced with Hack Squats for a better quad stimulus with less overall fatigue and a more manageable movement pattern.

Ab work has been added to each lower body day, which is optional but recommended for balanced core development.

For progression, aim to add either weight or reps each week. A simple method: once you hit the upper end of the rep range for a given exercise in all sets, increase the weight the next session. For Squat and Deadlift, add 10 lbs each time until you plateau, then reduce to 5 lbs increments. For Bench Press and OHP, aim to add 5 lbs each session. For accessory lifts, increase in the smallest possible increment.","['Advanced', 'Intermediate']","['Powerlifting', 'Powerbuilding']",Full Gym,12.0,90.0,1.0,1.0,7.0,Lat Pulldown,3.0,8.0,8.0,2024-11-18 11:11:00,2025-06-29 06:04:00
Optimized PHUL (Power Hypertrophy Upper Lower),"The goal of these revisions is to make the PHUL program more beginner-friendly by slightly altering exercise selection and rearranging the lower body days to better support recovery and sustainability. With proper attention to diet and recovery, athletes of all levels should see noticeable gains in strength and hypertrophy.

Deadlifts moved to the Lower Hypertrophy Day to optimize recovery.

Exercise order has been adjusted to accommodate this change, and calf volume has been slightly reduced.

Front squats have been replaced with Hack Squats for a better quad stimulus with less overall fatigue and a more manageable movement pattern.

Ab work has been added to each lower body day, which is optional but recommended for balanced core development.

For progression, aim to add either weight or reps each week. A simple method: once you hit the upper end of the rep range for a given exercise in all sets, increase the weight the next session. For Squat and Deadlift, add 10 lbs each time until you plateau, then reduce to 5 lbs increments. For Bench Press and OHP, aim to add 5 lbs each session. For accessory lifts, increase in the smallest possible increment.","['Advanced', 'Intermediate']","['Powerlifting', 'Powerbuilding']",Full Gym,12.0,90.0,1.0,1.0,7.0,Overhead Press (Barbell),3.0,8.0,8.0,2024-11-18 11:11:00,2025-06-29 06:04:00
Optimized PHUL (Power Hypertrophy Upper Lower),"The goal of these revisions is to make the PHUL program more beginner-friendly by slightly altering exercise selection and rearranging the lower body days to better support recovery and sustainability. With proper attention to diet and recovery, athletes of all levels should see noticeable gains in strength and hypertrophy.

Deadlifts moved to the Lower Hypertrophy Day to optimize recovery.

Exercise order has been adjusted to accommodate this change, and calf volume has been slightly reduced.

Front squats have been replaced with Hack Squats for a better quad stimulus with less overall fatigue and a more manageable movement pattern.

Ab work has been added to each lower body day, which is optional but recommended for balanced core development.

For progression, aim to add either weight or reps each week. A simple method: once you hit the upper end of the rep range for a given exercise in all sets, increase the weight the next session. For Squat and Deadlift, add 10 lbs each time until you plateau, then reduce to 5 lbs increments. For Bench Press and OHP, aim to add 5 lbs each session. For accessory lifts, increase in the smallest possible increment.","['Advanced', 'Intermediate']","['Powerlifting', 'Powerbuilding']",Full Gym,12.0,90.0,1.0,1.0,7.0,Bicep Curl (EZ Bar),3.0,8.0,8.0,2024-11-18 11:11:00,2025-06-29 06:04:00
Optimized PHUL (Power Hypertrophy Upper Lower),"The goal of these revisions is to make the PHUL program more beginner-friendly by slightly altering exercise selection and rearranging the lower body days to better support recovery and sustainability. With proper attention to diet and recovery, athletes of all levels should see noticeable gains in strength and hypertrophy.

Deadlifts moved to the Lower Hypertrophy Day to optimize recovery.

Exercise order has been adjusted to accommodate this change, and calf volume has been slightly reduced.

Front squats have been replaced with Hack Squats for a better quad stimulus with less overall fatigue and a more manageable movement pattern.

Ab work has been added to each lower body day, which is optional but recommended for balanced core development.

For progression, aim to add either weight or reps each week. A simple method: once you hit the upper end of the rep range for a given exercise in all sets, increase the weight the next session. For Squat and Deadlift, add 10 lbs each time until you plateau, then reduce to 5 lbs increments. For Bench Press and OHP, aim to add 5 lbs each session. For accessory lifts, increase in the smallest possible increment.","['Advanced', 'Intermediate']","['Powerlifting', 'Powerbuilding']",Full Gym,12.0,90.0,1.0,1.0,7.0,Skull Crusher (Barbell),3.0,5.0,9.0,2024-11-18 11:11:00,2025-06-29 06:04:00
Optimized PHUL (Power Hypertrophy Upper Lower),"The goal of these revisions is to make the PHUL program more beginner-friendly by slightly altering exercise selection and rearranging the lower body days to better support recovery and sustainability. With proper attention to diet and recovery, athletes of all levels should see noticeable gains in strength and hypertrophy.

Deadlifts moved to the Lower Hypertrophy Day to optimize recovery.

Exercise order has been adjusted to accommodate this change, and calf volume has been slightly reduced.

Front squats have been replaced with Hack Squats for a better quad stimulus with less overall fatigue and a more manageable movement pattern.

Ab work has been added to each lower body day, which is optional but recommended for balanced core development.

For progression, aim to add either weight or reps each week. A simple method: once you hit the upper end of the rep range for a given exercise in all sets, increase the weight the next session. For Squat and Deadlift, add 10 lbs each time until you plateau, then reduce to 5 lbs increments. For Bench Press and OHP, aim to add 5 lbs each session. For accessory lifts, increase in the smallest possible increment.","['Advanced', 'Intermediate']","['Powerlifting', 'Powerbuilding']",Full Gym,12.0,90.0,1.0,2.0,6.0,Squat (Barbell),3.0,8.0,8.0,2024-11-18 11:11:00,2025-06-29 06:04:00
Optimized PHUL (Power Hypertrophy Upper Lower),"The goal of these revisions is to make the PHUL program more beginner-friendly by slightly altering exercise selection and rearranging the lower body days to better support recovery and sustainability. With proper attention to diet and recovery, athletes of all levels should see noticeable gains in strength and hypertrophy.

Deadlifts moved to the Lower Hypertrophy Day to optimize recovery.

Exercise order has been adjusted to accommodate this change, and calf volume has been slightly reduced.

Front squats have been replaced with Hack Squats for a better quad stimulus with less overall fatigue and a more manageable movement pattern.

Ab work has been added to each lower body day, which is optional but recommended for balanced core development.

For progression, aim to add either weight or reps each week. A simple method: once you hit the upper end of the rep range for a given exercise in all sets, increase the weight the next session. For Squat and Deadlift, add 10 lbs each time until you plateau, then reduce to 5 lbs increments. For Bench Press and OHP, aim to add 5 lbs each session. For accessory lifts, increase in the smallest possible increment.","['Advanced', 'Intermediate']","['Powerlifting', 'Powerbuilding']",Full Gym,12.0,90.0,1.0,2.0,6.0,Leg Press,3.0,8.0,8.0,2024-11-18 11:11:00,2025-06-29 06:04:00
Optimized PHUL (Power Hypertrophy Upper Lower),"The goal of these revisions is to make the PHUL program more beginner-friendly by slightly altering exercise selection and rearranging the lower body days to better support recovery and sustainability. With proper attention to diet and recovery, athletes of all levels should see noticeable gains in strength and hypertrophy.

Deadlifts moved to the Lower Hypertrophy Day to optimize recovery.

Exercise order has been adjusted to accommodate this change, and calf volume has been slightly reduced.

Front squats have been replaced with Hack Squats for a better quad stimulus with less overall fatigue and a more manageable movement pattern.

Ab work has been added to each lower body day, which is optional but recommended for balanced core development.

For progression, aim to add either weight or reps each week. A simple method: once you hit the upper end of the rep range for a given exercise in all sets, increase the weight the next session. For Squat and Deadlift, add 10 lbs each time until you plateau, then reduce to 5 lbs increments. For Bench Press and OHP, aim to add 5 lbs each session. For accessory lifts, increase in the smallest possible increment.","['Advanced', 'Intermediate']","['Powerlifting', 'Powerbuilding']",Full Gym,12.0,90.0,1.0,2.0,6.0,Seated Hamstring Curl,3.0,8.0,9.0,2024-11-18 11:11:00,2025-06-29 06:04:00
